date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:33	5449/5449	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/js/bubbly-bg.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/bubbly-bg.js	(from https://shibacore.org/)
12:26:34	38451/38451	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/js/lib/particles1.min.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/lib/particles1.min.js	(from https://shibacore.org/)
12:26:36	452200/452200	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2003%20Feb%202023%2016:40:57%20GMT	https://shibacore.org/js/lib/canvasjs.min.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/lib/canvasjs.min.js	(from https://shibacore.org/)
12:26:38	3513/3513	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2003%20Feb%202023%2016:41:09%20GMT	https://shibacore.org/js/lib/stats.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/lib/stats.js	(from https://shibacore.org/)
12:26:42	210560/210560	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/js/amcharts/amcharts.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/amcharts/amcharts.js	(from https://shibacore.org/)
12:26:44	49850/49850	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/js/amcharts/serial.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/amcharts/serial.js	(from https://shibacore.org/)
12:26:44	62806/62806	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/js/amcharts/export.min.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/amcharts/export.min.js	(from https://shibacore.org/)
12:26:44	24/24	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/js/amcharts/none.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/amcharts/none.js	(from https://shibacore.org/)
12:26:45	14751/14751	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Feb%202023%2000:09:29%20GMT	https://shibacore.org/js/amcharts/pie.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/amcharts/pie.js	(from https://shibacore.org/)
12:26:46	44176/44176	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2003%20Feb%202023%2016:42:02%20GMT	https://shibacore.org/js/owl.carousel.min.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/owl.carousel.min.js	(from https://shibacore.org/)
12:26:47	11644/11644	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Feb%202023%2001:27:35%20GMT	https://shibacore.org/js/custom.js	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/js/custom.js	(from https://shibacore.org/)
12:26:49	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2011:26:50%20GMT	https://shibacore.org/css/owl-carousel/owl.video.play.png	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/css/owl-carousel/owl.video.play.png	(from https://shibacore.org/css/owl-carousel/owl.carousel.css)
12:27:06	77160/77160	---M--	200	added ('OK')	font/woff2	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/fonts/fontawesome-webfont3e6e.woff2	(from https://shibacore.org/css/font-awesome.min.css)
12:27:09	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/fonts/fontawesome-webfontd41d.eot	(from https://shibacore.org/css/font-awesome.min.css)
12:27:09	98024/98024	---M--	200	added ('OK')	font/woff	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/fonts/fontawesome-webfont3e6e.woff	(from https://shibacore.org/css/font-awesome.min.css)
12:27:11	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/fonts/fontawesome-webfont3e6e.eot	(from https://shibacore.org/css/font-awesome.min.css)
12:27:16	165548/165548	---M--	200	added ('OK')	font/ttf	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/fonts/fontawesome-webfont3e6e.ttf	(from https://shibacore.org/css/font-awesome.min.css)
12:27:17	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/fonts/fontawesome-webfont3e6e.svg	(from https://shibacore.org/css/font-awesome.min.css)
12:27:20	112916/112916	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/fonts/line-awesome.eot?v=1.1.	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/fonts/line-awesomeeb4f.eot	(from https://shibacore.org/css/line-awesome.min.css)
12:27:25	112916/112916	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/fonts/line-awesome.eot??v=1.1.	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/fonts/line-awesome0176.eot	(from https://shibacore.org/css/line-awesome.min.css)
12:27:26	45108/45108	---M--	200	added ('OK')	font/woff2	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/fonts/line-awesome.woff2?v=1.1.	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/fonts/line-awesomeeb4f.woff2	(from https://shibacore.org/css/line-awesome.min.css)
12:27:31	57436/57436	---M--	200	added ('OK')	font/woff	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/fonts/line-awesome.woff?v=1.1.	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/fonts/line-awesomeeb4f.woff	(from https://shibacore.org/css/line-awesome.min.css)
12:27:39	112728/112728	---M--	200	added ('OK')	font/ttf	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/fonts/line-awesome.ttf?v=1.1.	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/fonts/line-awesomeeb4f.ttf	(from https://shibacore.org/css/line-awesome.min.css)
12:27:48	8743935/8743935	---M--	200	added ('OK')	video/mp4	date:Sat,%2004%20Feb%202023%2002:44:49%20GMT	https://shibacore.org/video/bg23.mp4	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/video/bg23.mp4	(from https://shibacore.org/)
12:27:51	433695/433695	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2025%20Feb%202022%2009:19:57%20GMT	https://shibacore.org/fonts/line-awesome.svg?v=1.1.	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/fonts/line-awesomeeb4f.svg	(from https://shibacore.org/css/line-awesome.min.css)
12:27:52	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2011:27:53%20GMT	https://shibacore.org/images/blog-controls.png	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/images/blog-controls.39.delayed	(from https://shibacore.org/css/mediaelementplayer.min.css)
12:27:52	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2011:27:53%20GMT	https://shibacore.org/images/01.png	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/images/01.png	(from https://shibacore.org/css/style.css)
12:27:53	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2011:27:54%20GMT	https://shibacore.org/images/02.jpg	C:/My%20Web%20Sites/https___shibacore.org_/shibacore.org/images/02.jpg	(from https://shibacore.org/css/style.css)
